tconst,parentTconst,seasonNumber,episodeNumber,TV-show,primaryTitle_y,startYear,endYear,channel,averageRating,numVotes,episodeID
tt5238952,tt4016454,1,18,Supergirl,Worlds Finest,2016,\N,CW,8.8,3401,18
tt5238960,tt4016454,1,19,Supergirl,Myriad,2016,\N,CW,7.8,1813,19
tt5238972,tt4016454,1,20,Supergirl,Better Angels,2016,\N,CW,7.9,2006,20
tt5716756,tt4016454,2,1,Supergirl,The Adventures of Supergirl,2016,\N,CW,8.4,2438,21
tt5813998,tt4016454,2,2,Supergirl,The Last Children of Krypton,2016,\N,CW,8.2,1805,22
tt5826040,tt4016454,2,3,Supergirl,Welcome to Earth,2016,\N,CW,8.0,1755,23
tt5827214,tt4016454,2,22,Supergirl,"Nevertheless, She Persisted",2017,\N,CW,7.9,1467,42
tt5957602,tt4016454,2,4,Supergirl,Survivors,2016,\N,CW,7.9,1658,24
tt5957610,tt4016454,2,5,Supergirl,Crossfire,2016,\N,CW,7.8,1686,25
tt5957622,tt4016454,2,6,Supergirl,Changing,2016,\N,CW,7.9,1738,26
tt5957628,tt4016454,2,7,Supergirl,The Darkest Place,2016,\N,CW,7.9,1590,27
tt5957644,tt4016454,2,8,Supergirl,Medusa,2016,\N,CW,8.1,2026,28
tt5957654,tt4016454,2,9,Supergirl,Supergirl Lives,2017,\N,CW,7.8,1526,29
tt5957844,tt4016454,2,10,Supergirl,We Can Be Heroes,2017,\N,CW,7.5,1387,30
tt5957846,tt4016454,2,11,Supergirl,The Martian Chronicles,2017,\N,CW,7.7,1365,31
tt5957848,tt4016454,2,12,Supergirl,Luthors,2017,\N,CW,8.0,1536,32
tt5957854,tt4016454,2,13,Supergirl,Mr. & Mrs. Mxyzptlk,2017,\N,CW,7.5,1605,33
tt5957856,tt4016454,2,14,Supergirl,Homecoming,2017,\N,CW,7.5,1399,34
tt5957862,tt4016454,2,15,Supergirl,Exodus,2017,\N,CW,8.1,1536,35
tt5957864,tt4016454,2,16,Supergirl,Star-Crossed,2017,\N,CW,7.4,1407,36
tt5957866,tt4016454,2,17,Supergirl,Distant Sun,2017,\N,CW,7.7,1292,37
tt5957876,tt4016454,2,18,Supergirl,Ace Reporter,2017,\N,CW,7.6,1267,38
tt5957882,tt4016454,2,19,Supergirl,Alex,2017,\N,CW,7.8,1331,39
tt5957888,tt4016454,2,20,Supergirl,City of Lost Children,2017,\N,CW,7.5,1183,40
tt5957908,tt4016454,2,21,Supergirl,Resist,2017,\N,CW,7.8,1315,41
tt6403442,tt4016454,3,1,Supergirl,Girl of Steel,2017,\N,CW,7.8,1441,43
tt7171722,tt4016454,3,2,Supergirl,Triggers,2017,\N,CW,7.5,1221,44
tt7171726,tt4016454,3,3,Supergirl,Far from the Tree,2017,\N,CW,7.4,1225,45
tt7200898,tt4016454,3,4,Supergirl,The Faithful,2017,\N,CW,7.6,1133,46
tt7216108,tt4016454,3,8,Supergirl,"Crisis on Earth-X, Part 1",2017,\N,CW,8.9,2640,50
tt7252130,tt4016454,3,5,Supergirl,Damage,2017,\N,CW,7.6,1165,47
tt7304078,tt4016454,3,6,Supergirl,Midvale,2017,\N,CW,8.3,1409,48
tt7314624,tt4016454,3,7,Supergirl,Wake Up,2017,\N,CW,7.8,1155,49
tt7541772,tt4016454,3,9,Supergirl,Reign,2017,\N,CW,8.6,1398,51
tt7617864,tt4016454,3,15,Supergirl,In Search of Lost Time,2018,\N,CW,7.6,868,57
tt7637944,tt4016454,3,10,Supergirl,Legion of Super-Heroes,2018,\N,CW,7.9,1056,52
tt7637966,tt4016454,3,11,Supergirl,Fort Rozz,2018,\N,CW,7.7,987,53
tt7637972,tt4016454,3,12,Supergirl,For Good,2018,\N,CW,7.3,987,54
tt7637980,tt4016454,3,13,Supergirl,Both Sides Now,2018,\N,CW,7.4,966,55
tt7638002,tt4016454,3,14,Supergirl,Schott Through the Heart,2018,\N,CW,7.2,894,56
tt7762810,tt4016454,3,16,Supergirl,Of Two Minds,2018,\N,CW,7.5,822,58
tt7762812,tt4016454,3,17,Supergirl,Trinity,2018,\N,CW,7.6,838,59
tt7762814,tt4016454,3,18,Supergirl,Shelter from the Storm,2018,\N,CW,7.5,790,60
tt7762822,tt4016454,3,19,Supergirl,The Fanatical,2018,\N,CW,7.0,815,61
tt7762826,tt4016454,3,20,Supergirl,Dark Side of the Moon,2018,\N,CW,7.3,796,62
tt7762828,tt4016454,3,21,Supergirl,Not Kansas,2018,\N,CW,6.4,955,63
tt7762834,tt4016454,3,22,Supergirl,Make It Reign,2018,\N,CW,7.3,725,64
tt7762842,tt4016454,3,23,Supergirl,Battles Lost and Won,2018,\N,CW,7.6,758,65
tt8227102,tt4016454,4,1,Supergirl,American Alien,2018,\N,CW,7.1,877,66
tt8685330,tt4016454,4,3,Supergirl,Man of Steel,2018,\N,CW,7.3,839,68
tt8752588,tt4016454,4,2,Supergirl,Fallout,2018,\N,CW,7.4,1268,67
tt8752590,tt4016454,4,4,Supergirl,Ahimsa,2018,\N,CW,6.8,636,69
tt8883894,tt4016454,4,9,Supergirl,"Elseworlds, Part 3",2018,\N,CW,8.7,1061,74
tt8924672,tt4016454,4,5,Supergirl,Parasite Lost,2018,\N,CW,6.3,700,70
tt8939116,tt4016454,4,6,Supergirl,Call to Action,2018,\N,CW,6.8,578,71
tt8939126,tt4016454,4,7,Supergirl,Rather the Fallen Angel,2018,\N,CW,7.0,538,72
tt9146322,tt4016454,4,8,Supergirl,Bunker Hill,2018,\N,CW,7.4,524,73
tt2912494,tt2661044,1,1,The 100,Pilot,2014,\N,CW,7.6,4539,1
tt3143980,tt2661044,1,2,The 100,Earth Skills,2014,\N,CW,7.7,3770,2
